,time_lag,temperature,humidity,rain,wind
0,0,-0.15102053907451965,0.08031306492426077,0.10836876348573088,-0.12220717552562019
1,1,-0.1685059907630585,0.04304230913724123,0.13947165220848148,-0.14570496658278828
2,2,-0.17397422922942665,0.06303675457085547,0.1387874699442365,-0.21810991860135975
3,3,-0.19491623559826443,0.049657467815910405,0.1579282437183468,-0.17030642752477018
4,4,-0.21491195520949197,0.053871045818658245,0.10233978715258203,-0.14963651282868162
5,5,-0.24983354752224304,0.09792318462621952,0.19382314741128834,-0.14482853261539716
6,6,-0.24571870792497033,0.09670708510558036,0.1266002714058993,-0.16111052630922432
7,7,-0.29023900563374777,0.10930577713998697,0.18972126933943814,-0.17906767015361919
8,8,-0.3289813936251031,0.08293592206371411,0.22861598839984945,-0.14916912215058378
9,9,-0.38900458064366605,0.07890297564667835,0.2951124314312894,-0.14891444471284362
10,10,-0.45787294333670187,0.06525761080154632,0.1789669779875418,-0.16412986129323542
11,11,-0.5400932671158426,0.05758419571272607,0.09855328850416735,-0.1784438328021639
12,12,-0.5772736056562927,0.06242038416069826,0.04762125339280276,-0.1628988282305793
13,13,-0.6391851252963341,0.09506420734202224,0.10157229937543433,-0.17849502116853377
14,14,-0.6945605503178,0.07817557817925327,0.0920501709976718,-0.19506400256853312
15,15,-0.7781011207403215,0.013392323625885992,0.012654071071835181,-0.18597699482430496
16,16,-0.8271724845542111,0.04805108703640206,-0.019736670294088727,-0.15006041023468009
17,17,-0.8076322260572233,0.214097214806844,0.03159264367995559,-0.2016686481953829
18,18,-0.7715228438574567,0.22689670334735823,0.01294863579267416,-0.33102532324530576
19,19,-0.74367045286915,0.22844402355718824,-0.02972636766516091,-0.3513429779197249
20,20,-0.7673748801500995,0.16389331608251534,1.3109903027575206e-05,-0.2765057974767291
21,21,-0.7327036369812542,0.20708026448601075,0.022625751226945774,-0.2943050796711803
22,22,-0.7050312028891346,0.18299499866518298,0.04652390468473444,-0.24148468278444543
23,23,-0.6216366991987465,0.23039963468969932,-0.019037271492203873,-0.2168259079254017
24,24,-0.6020796956323597,0.23738068544997457,0.006830842630474092,-0.21793420118698348
25,25,-0.5919108348215246,0.21917562477843322,-0.029548918095246162,-0.21369880349594028
26,26,-0.5914543425759133,0.15893572522013139,-0.05464387992468653,-0.20511765644185212
27,27,-0.5737771043474267,0.24375008389174008,-0.06517583872834412,-0.13658840765678448
28,28,-0.5177483011534949,0.39527060880034376,0.09636243712593556,-0.24750679958666164
29,29,-0.5219938737488591,0.3777039191409969,0.03014139419231374,-0.14709914788118442
30,30,-0.540197452095942,0.36446611480297486,0.058190407568017855,-0.12465795122122399
