index,time_lag,temperature,humidity,rain,wind
0,0,0.28882901263598837,0.23222914506167922,0.15398022995752003,0.000986625321762477
1,1,0.2775236630949932,0.1995188267009703,0.20731171245240027,-0.0200798724875224
2,2,0.26463673282787664,0.24001919714172504,0.20172933572571483,-0.10397065240808283
3,3,0.22852263563702138,0.23106280409831678,0.2546994167717619,-0.04628595338411724
4,4,0.18639066893107764,0.2281918864086544,0.17255428692525865,-0.017648353055025944
5,5,0.1205719135183956,0.25309393228042837,0.3148543283186881,0.03940633057610186
6,6,0.11141588913270789,0.17103362467634506,0.14097484309982525,-0.016095454328256258
7,7,0.02497911496428846,0.1808661113776534,0.2248099073729304,-0.03767321719252986
8,8,-0.03608825223087539,0.1580901819239092,0.27335985483056213,0.017951693081279967
9,9,-0.1472416471969157,0.13009862725785915,0.37514444487818394,0.017419505828245647
10,10,-0.2543314947570068,0.0860952422924458,0.22073047126066964,0.023590800349151078
11,11,-0.3776025404123751,0.04619041658519826,0.10122030810686075,0.02008579484314424
12,12,-0.42703512253535236,0.0031709156408677047,0.026674764045266173,0.02006889053381955
13,13,-0.512073587512715,0.01981128008233403,0.10061044356353298,-0.0029197794176099713
14,14,-0.5826993275014406,-0.024408746578993,0.08994806046621572,-0.05029194753163327
15,15,-0.7020471444479109,-0.13102855085481943,-0.027919902549892385,-0.07137235397139347
16,16,-0.7711432068753619,-0.06818550726281915,-0.07932942075535943,-0.013681849369098971
17,17,-0.7418382245257595,0.15457283293368887,-0.021857898931852745,-0.08430307301117596
18,18,-0.6804363916362569,0.18792036505990062,-0.06878964097536484,-0.2740025003601504
19,19,-0.627125701795759,0.2056280727390913,-0.09716763207219448,-0.3342609755050755
20,20,-0.6714185766562323,0.07281898707621476,-0.05426678763939378,-0.25900418718428087
21,21,-0.623847904957621,0.13210629966833687,-0.018354316618406467,-0.3134595980826258
22,22,-0.567895079526126,0.11498927439138529,0.03767857473054296,-0.2557623661927731
23,23,-0.41384942706934047,0.22989931529995358,-0.058030761089585145,-0.2392347811189716
24,24,-0.32433950775462367,0.3010506677361066,0.00886125437095424,-0.23077727873403972
25,25,-0.28837152246843106,0.17300754013217723,-0.13500626129550086,-0.2310898448196653
26,26,-0.2572836034551336,0.024377926504635425,-0.17365838326450794,-0.12789472854586761
27,27,-0.1745895583551029,0.0819356825920343,-0.20384629214077638,-0.013485711448641625
28,28,-0.0020112173363089317,0.33310671425337596,0.02060482819886063,-0.18713940915036065
29,29,-0.04273909187553691,0.3238332303954742,-0.07904073907895515,-0.014263125783490902
30,30,-0.1150771751675986,0.31401995428161183,-0.046310344081402624,0.14896156235257585
